feature,importance,importance_pct
winter_crash_count,714.0710527203046,21.18
snow_complaint_count_log,679.6397259235382,20.16
snow_complaint_count,463.02582809329033,13.74
mid_lat,177.1188593171537,5.25
cumulative_snowfall_cm,119.74218882620335,3.55
total_snowfall_cm,116.09484241530299,3.44
domi_closure_count,99.5932028517127,2.95
day_offset,96.52983950078487,2.86
days_since_peak_snowfall,89.9836403131485,2.67
elevation_m,88.87340083532035,2.64
max_wind_kmh,81.50044753029943,2.42
snow_x_elevation,81.34919135225937,2.41
max_daily_snowfall_cm,76.5748200416565,2.27
precip_total_mm,58.15835816413164,1.73
daily_snowfall_cm,56.03746898472309,1.66
min_temp_c,55.773370637521765,1.65
speedlimit,55.748080253601074,1.65
cumulative_thaw_degree_hours,48.518710255622864,1.44
mid_lng,43.39181252196431,1.29
wind_x_roadwidth,26.72667571902275,0.79
domi_full_closure_count,25.79643213003874,0.77
penndot_pavement_idx,25.0157208442688,0.74
day_offset_x_snow,22.90341553092003,0.68
domi_class_enc,18.009989619255066,0.53
duration_days,17.584022343158722,0.52
penndot_aadt,12.12207005918026,0.36
plow_coverage_score,9.479733884334564,0.28
plow_coverage_score_log,4.2441031485795975,0.13
is_post_storm,2.3562700748443604,0.07
roadwidth,2.0394299030303955,0.06
snow_x_steep_slope,1.9237990081310272,0.06
temp_x_bridge,0.6997920274734497,0.02
bridge_age_years,0.25829198956489563,0.01
is_bridge,0.0,0.0
post_storm_x_elevation,0.0,0.0
thaw_x_steep_slope,0.0,0.0
near_steep_slope,0.0,0.0
snow_x_incline,0.0,0.0
near_landslide,0.0,0.0
winter_crash_fatal,0.0,0.0
is_snow_emergency_route,0.0,0.0
winter_crash_count_log,0.0,0.0
oneway_enc,0.0,0.0
winter_crash_fatal_log,0.0,0.0
paveclass_enc,0.0,0.0
highway_type_osm_enc,0.0,0.0
surface_osm_enc,0.0,0.0
incline_pct,0.0,0.0
num_lanes,0.0,0.0
has_penndot_data,0.0,0.0
