name,latitude,longitude,source,place_id
Schenley Drive,40.44018930000001,-79.94695039999999,roads_api,ChIJ35dHrSDyNIgRNYNhOFTDKR4
Frew Street,40.44097186980579,-79.94451405798449,roads_api,ChIJ_dVEXyDyNIgRVuT3rENLzts
Frew Street,40.44061414995581,-79.94280827211028,roads_api,ChIJ0YAlFiDyNIgRN-WDXEkxWTY
Frew Street,40.4404377,-79.9408322,roads_api,ChIJsTAxix_yNIgR5uXKM46wFpw
Frew Street,40.4404377,-79.9408322,roads_api,ChIJsTAxix_yNIgR5-XKM46wFpw
Northumberland Street,40.44047327085195,-79.9393117009076,roads_api,ChIJa8pfth_yNIgRws06FV4zhWU
Northumberland Street,40.44047327085195,-79.9393117009076,roads_api,ChIJa8pfth_yNIgRw806FV4zhWU
Frew Street,40.4413965020705,-79.94656399104683,roads_api,ChIJ-RrvwyDyNIgRiu4xG72W8J0
Margaret Morrison Street,40.44203024537428,-79.9427812212523,roads_api,ChIJmy5_zCHyNIgRQAtUaP73xdk
Margaret Morrison Street,40.44203024537428,-79.9427812212523,roads_api,ChIJmy5_zCHyNIgRQQtUaP73xdk
Margaret Morrison Street,40.44175691241416,-79.94102595083308,roads_api,ChIJFaOedx_yNIgRViwrz7AvwdY
Margaret Morrison Street,40.44175691241416,-79.94102595083308,roads_api,ChIJFaOedx_yNIgRVywrz7AvwdY
Margaret Morrison Street,40.441911218586455,-79.93934548933447,roads_api,ChIJ6zHRBR_yNIgRpjWzTp1lBUA
Margaret Morrison Street,40.441911218586455,-79.93934548933447,roads_api,ChIJ6zHRBR_yNIgRpzWzTp1lBUA
Hamerschlag Drive,40.443195628791905,-79.94640007304231,roads_api,ChIJp1vJOSHyNIgRGozQFRc6mQs
Frank Curto Dr,,,directions_api,
Frew St,,,directions_api,
Schenley Dr,,,directions_api,
Beeler St at Forbes Ave,40.44394450000001,-79.9385465,places_api,ChIJm96k1B7yNIgRRVCJIhXYv4A
Fifth Ave at Morewood Ave,40.4473755,-79.94251249999999,places_api,ChIJPfWtjyLyNIgRlNmxlPmxHLc
Forbes Ave + Morewood (Carnegie Mellon),40.4444225,-79.94249280000001,places_api,ChIJGZNXHCLyNIgRAwzxmPtpZuA
"Pittsburgh, PA (Carnegie Mellon area- Bus stop at the intersection of Forbes Ave and Morewood, opposite to Carnegie Mellon University Alumni House)",40.4444414,-79.9424962,places_api,ChIJHUfpHCLyNIgRyChPUeByLXE
Forbes Ave + Morewood Ave FS (Carnegie Mellon),40.4446976,-79.94378739999999,places_api,ChIJIcaMJiLyNIgRO0e6nBB7RCI
Morewood Ave at Forbes Ave FS,40.44511299999999,-79.9427,places_api,ChIJH8ltEiLyNIgRxe5bUlpTPj0
Forbes Ave Opp Beeler St,40.4439661,-79.9394406,places_api,ChIJ-yo5Kh_yNIgRpV4Ben9RfNs
Forbes Ave + Beeler,40.4438473,-79.93859049999999,places_api,ChIJRQdB1B7yNIgRzNumVcaL354
Beeler St / Forbes Ave,40.444045,-79.938608,places_api,ChIJtxODLBnyNIgRDdKtaDobVc0
Beeler St + Forbes FS,40.44401870000001,-79.9383902,places_api,ChIJtxODLBnyNIgRF88EsuWuS6Y
Forbes + Margaret Morrison NS,40.442789,-79.93777999999999,places_api,ChIJ24cRwh7yNIgRg8WNUIvBoyg
Forbes Ave + Margaret Morrison,40.442606,-79.937477,places_api,ChIJjfwQwB7yNIgRnsZDTSbHbVc
Fifth Ave + Moorewood Ave,40.44736499999999,-79.942604,places_api,ChIJcwSZjiLyNIgRUiTkvKrcFL8
Fifth Ave + Clyde St,40.447201,-79.944955,places_api,ChIJ9bhkpyPyNIgR1izMR7tlfPM
