name,osm_id,mid_lat,mid_lng,node_count,data_source,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref
Ali Baba Restaurant,,40.4450801,-79.9488817,0.0,places_api,,,,,,,,,,,,,
Amberson Avenue,11690551,40.44934318571429,-79.93978845000001,14.0,osm,residential,asphalt,2.0,25 mph,,,,,,,,,
Amberson Place,11753371,40.450101100000005,-79.94085003333333,3.0,osm,residential,,,,,,,,,,,,
Baker Hall,,40.4414779,-79.9449887,0.0,places_api,,,,,,,,,,,,,
Beeler St + Forbes FS,,40.44401870000001,-79.9383902,0.0,places_api,,,,,,,,,,,,,
Beeler St + Unger,,40.444986,-79.936548,0.0,places_api,,,,,,,,,,,,,
Beeler St / Forbes Ave,,40.444045,-79.938608,0.0,places_api,,,,,,,,,,,,,
Beeler St at Forbes Ave,,40.44394450000001,-79.9385465,0.0,places_api,,,,,,,,,,,,,
Beeler Street,11690395,40.44433777727273,-79.93764642151515,20.0,osm,tertiary,asphalt,2.0,,,,,,,,,,
Beelermont Place,11812897,40.445131700000005,-79.93375198,5.0,osm,residential,,,,,,,,,,,,
Boundary Street,25655759,40.44036766982143,-79.94936925196428,20.0,osm,residential,,,25 mph,,,,,both,,,,
Canterbury Lane,11739047,40.447876433333334,-79.9409473,3.0,osm,residential,,,,,,,,,,,,
Carnegie Mellon Art Store,,40.4433542,-79.94192740000001,0.0,places_api,,,,,,,,,,,,,
Carnegie Mellon School of Computer Science,,40.44416469999999,-79.9433725,0.0,places_api,,,,,,,,,,,,,
Carnegie Mellon University,,40.4476053,-79.9462719,0.0,places_api,,,,,,,,,,,,,
Carnegie Mellon University Health Services (CMU UHS),,40.4410851,-79.94128049999999,0.0,places_api,,,,,,,,,,,,,
Carnegie Mellon: Forbes/ Craig Building,,40.444764,-79.9485498,0.0,places_api,,,,,,,,,,,,,
Carriage Road,11680951,40.446580955,-79.937689645,15.0,osm,residential,asphalt,,,,,,,,,,permissive,
Castleman Street,11949370,40.4491302,-79.94104964,5.0,osm,residential,,,,yes,,,,separate,,,,
Cathedral of Learning,,40.4443625,-79.95315509999999,0.0,places_api,,,,,,,,,,,,,
Clyde Street,11956950,40.448205692307695,-79.94584908461539,13.0,osm,residential,,,,yes,,,,,,,,
Coulter Welcome Center,,40.444748,-79.9456814,0.0,places_api,,,,,,,,,,,,,
Cyert Hall,,40.4443376,-79.9437876,0.0,places_api,,,,,,,,,,,,,
Devon Road,11944354,40.44551097023809,-79.94055434047618,13.0,osm,residential,cobblestone,,,,,,,both,,,yes,
Devonshire Road,11729757,40.4469354,-79.9438193,3.0,osm,residential,asphalt,,,,,,no,left,,,,
Devonshire Street,11853299,40.44927251428572,-79.9446184,14.0,osm,residential,asphalt,,,,,,yes,,,,,
Diulius Way,11960639,40.439230037499996,-79.95094740833333,7.0,osm,steps,,,,,,,,,,,,
Dorset Street,1463031884,40.44515473333333,-79.937835,3.0,osm,residential,asphalt,,,,,,,,,,permissive,
East Campus Garage,,40.4439576,-79.94106599999999,0.0,places_api,,,,,,,,,,,,,
East Circuit Road,11803878,40.4360348875,-79.9381449875,24.0,osm,unclassified,,,25 mph,,,,no,,,,,
