osm_id,name,highway_type,surface,lanes,maxspeed,oneway,bridge,tunnel,lit,sidewalk,cycleway,width,access,ref,mid_lat,mid_lng,node_count
11653556,Frew Street Extension,service,,,20 mph,,,,,,,,,,40.439034095454545,-79.9491458590909,22
11669596,Warwick Terrace,residential,asphalt,,,,,,,left,,,,,40.44681226666666,-79.9402992,3
11672170,Schenley Road,service,,,,,,,,,,,private,,40.439566049999996,-79.93725599999999,2
11672244,Morewood Place,residential,asphalt,,,yes,,,,no,,,,,40.44530175,-79.94169784285714,14
11680951,Carriage Road,residential,asphalt,,,,,,,,,,permissive,,40.446500300000004,-79.93734334000001,5
11683958,Schenley Drive Extension,tertiary,asphalt,2,,,,,yes,separate,,,,,40.44264605,-79.951768025,4
11685539,Robin Way,residential,asphalt,,,,,,,,,,private,,40.444018899999996,-79.93562899999999,3
11685703,Unger Lane,residential,,,,,,,,,,,,,40.4453447,-79.93667781250001,8
11685963,Holyrood Road,residential,asphalt,2,,,,,,,,,permissive,,40.445602414285716,-79.93837537142858,7
11687001,Wilkins Avenue,secondary,asphalt,,25 mph,,,,,,,,,,40.446866754545454,-79.93440146363636,11
11690395,Beeler Street,tertiary,,2,,,,,,,,,,,40.44522133636364,-79.9348907909091,11
11690551,Amberson Avenue,residential,asphalt,2,25 mph,,,,,,,,,,40.449343185714284,-79.93978845000001,14
11691398,Parish Lane,residential,asphalt,2,,,,,,,,,permissive,,40.44605532,-79.93910306000001,5
11695992,Isis Way,service,,,,,,,,,,,,,40.4402167,-79.95120743333332,3
11697077,North Dithridge Street,residential,asphalt,1,,yes,,,yes,separate,,,,,40.448060276470585,-79.9512973,17
11698857,Tech Street,residential,asphalt,,,,,,,separate,,,,,40.440280800000004,-79.94220773333333,3
11699690,Fair Oaks Street,residential,asphalt,2,,,,,,,,,,,40.44511126,-79.93037848,25
11711373,Joncaire Street,residential,unhewn_cobblestone,,25 mph,,,,,separate,,,,,40.44044445,-79.95190569,10
11713940,Roberto & Vera Clemente Drive,tertiary,asphalt,2,,no,,,yes,separate,,,,,40.44124605333333,-79.95345963999999,15
11720583,Henry Street,residential,asphalt,,,,,,yes,both,,,,,40.4462496,-79.95045693333333,3
11722673,Squirrel Hill Avenue,residential,asphalt,2,,,,,,,,,,,40.44119437142857,-79.93318952857143,14
11729090,Forbes Avenue,primary,asphalt,4,,,,,,separate,lane,,,,40.4444261,-79.94169996000001,5
11729757,Devonshire Road,residential,asphalt,,,,,,no,left,,,,,40.4469354,-79.9438193,3
11731298,Pembroke Place,residential,,,,,,,,,,,,,40.45014146666667,-79.93841181666666,6
11734052,Schenley Drive,secondary,asphalt,2,,,,,,separate,,,,,40.44212546666667,-79.95087185833334,12
11734056,Schenley Drive,tertiary,asphalt,,25 mph,,,,yes,no,,,,,40.43869495714286,-79.93903607857143,28
11734061,Schenley Drive,tertiary,asphalt,2,25 mph,yes,,,yes,separate,,,,,40.4386826,-79.94615,4
11734064,Schenley Road,service,,,,,,,,,,,private,,40.43979736666667,-79.9363087,3
11734068,Schenley Drive,secondary,asphalt,2,,no,,,yes,separate,lane,,,,40.44225004,-79.95306335000001,10
11736605,Techview Terrace,residential,asphalt,2,,,,,,no,,,,,40.44327451111111,-79.9376034888889,9
11739047,Canterbury Lane,residential,,,,,,,,,,,,,40.447876433333334,-79.9409473,3
11740080,Penton Road,residential,asphalt,,,,,,,,,,yes,,40.44488908333333,-79.93854373333333,6
11740320,Olympia Place,residential,asphalt,,,,,,,,,,yes,,40.44582083333333,-79.9348763,3
11742522,Malvern Avenue,residential,asphalt,2,,,,,,,,,,,40.44189654,-79.93496328,5
11742581,Penton Road,residential,,,,,,,,,,,yes,,40.4448754,-79.9374047375,8
11742865,Schenley Road,service,,,,yes,,,,,,,,,40.440515315384616,-79.9359684923077,13
11742872,Schenley Road,service,,,,,,,,,,,private,,40.44015652,-79.9369249,5
11742881,Schenley Road,service,,,,,,,,,,,private,,40.43982264,-79.93750232,5
11750475,South Dithridge Street,residential,asphalt,3,,,,,yes,,,,,,40.4465798,-79.95055646666667,3
11753371,Amberson Place,residential,,,,,,,,,,,,,40.450101100000005,-79.94085003333333,3
11755338,South Neville Street,residential,,,,,,,,right,,,,,40.44464322,-79.94668340000001,5
11756576,Carriage Road,residential,asphalt,,,,,,,,,,permissive,,40.44666161,-79.93803595,10
11803878,East Circuit Road,unclassified,,,25 mph,,,,no,,,,,,40.4360348875,-79.9381449875,24
11804569,Wally Way,service,,,,,,,,,,,private,,40.45060418888889,-79.94569878888889,9
11805275,South Neville Street,residential,,,25 mph,,,,,,,,,,40.44653755,-79.94704846249999,8
11810524,Normlee Place,residential,,,,,,,,both,,,,,40.442021833333335,-79.93658403333335,3
11812897,Beelermont Place,residential,,,,,,,,,,,,,40.445131700000005,-79.93375198,5
11818044,Gladstone Road,residential,,,,,,,,,,,,,40.4411359,-79.93685345,2
11820239,North Bellefield Avenue,tertiary,asphalt,2,,,,,yes,separate,,,,,40.447450679999996,-79.95232395000001,10
11822295,Westminster Place,residential,,,,,,,,,,,,,40.44911405714286,-79.93772317142857,7
11823485,Plainfield Street,residential,,,,,,,,,,,,,40.44134900555556,-79.93312735555556,18
11826990,South Craig Street,primary,asphalt,2,,,,,,,,,,,40.44608321,-79.94887507,10
11833234,Warwick Terrace,residential,asphalt,,,,,,,,,,,,40.4468377,-79.939788,2
11834237,South Bellefield Avenue,trunk,asphalt,3,,yes,,,,separate,,,,,40.445236528571435,-79.95133985714286,7
11834303,West Circuit Road,unclassified,,,,,,,no,,,,,,40.43706540833333,-79.94274275416667,24
11837579,Morewood Avenue,secondary,concrete,,,,,,,,,,,,40.4473166,-79.94242293333333,3
11838419,Frew Street,residential,asphalt,,,yes,,,,both,,,,,40.440972125,-79.947965075,4
11840126,Filmore Street,residential,asphalt,,,yes,,,yes,,,"23'0""",,,40.445130039999995,-79.95075136,5
11841038,,service,,,,,,,,,,,,,40.446501999999995,-79.9358177,2
11851716,Margaret Morrison Street,residential,,,,,,,,separate,,,,,40.441847233333334,-79.93986063333334,18
11853257,Ellsworth Terrace,residential,sett,,,,,,,both,,,,,40.449476866666664,-79.9465656,6
11853299,Devonshire Street,residential,asphalt,,,,,,yes,,,,,,40.44927251428572,-79.9446184,14
